y,x,market,desc,type,imageFile
33.9900303,-81.081484,Lexington,Lexington Highway 1.6 miles south of Highway 378,billboard,Lexington Highway 1 .6 miles south of Highway 378.PNG
33.851174,-81.0300576,Calhoun,Calhoun I-26 .9 miles east of Rest Area MM 123.15,billboard,Calhoun I-26 .9 miles east of Rest Area (MM 123.15).PNG
34.792577,-82.379738,Greenville,Greenville Highway 25 aka Augusta Road .2 miles south of I-85,billboard,Greenville Highway 25 (Augusta Road) .2 miles south of I-85.PNG
32.924942,-80.693443,Collenton,Colleton I-95 .3 miles south of Exit 57,billboard,Colleton I-95 .3 miles south of Exit 57.PNG
33.197849,-80.603465,Berkeley,Berkeley I-95 200 feet north of Highway 78,billboard,Berkeley I-95 200 feet north of Highway 78.PNG
34.70228,-82.898314,Oconee,Oconee Highway 123 .4 miles north of Wells Highway,billboard,Oconee Highway 123 .4 miles north of Wells Highway.PNG
34.195861,-80.673148,Kershaw,Kershaw I-20 .7 miles east of Highway 601,billboard,Kershaw I-20 .7 miles east of Highway 601.PNG
33.6194834,-79.0245167,Myrtle Beach,"1405 Winyah, Bay Rd, Myrtle Beach, SC 29588",banner,The Lakes a Lennar subdivision.jpg
33.6580971,-79.0137964,Surfside,"209 Angel Wing Dr, Myrtle Beach, SC 29588",banner,Beazer homes in Surfside Plantation.jpg
33.6662469,-78.935512,Myrtle Beach,"890 Shine Ave, Myrtle Beach, SC 29577",banner,Myrtle Beach Office Dominon Energy.JPG
34.2283153,-79.7562398,Florence,"1812 N Irby St, Florence, SC 29501",banner,Florence Office Dominion Energy.JPG
33.666261,-78.9698897,Myrtle Beach,"2409 Rock Dove Road, Myrtle Beach, SC 29577",banner,Lennar . Belle harbor in Myrtle beach.jpg
33.7167956,-78.9700402,Myrtle Beach,"104 Long Cane Dr, Myrtle Beach, SC 29579",banner,Forestbrook Estates . Myrtle Beach Lennar Construction.jpg
33.5974056,-81.9561954,N. Augusta221 Sweetwater Rd,"221 Sweetwater Rd, North Augusta, SC 29841",banner,North Augusta Terminal Buckeye Partners.jpeg
33.8515714,-79.7299292,Lake City,"1115 E. main street ,Lake City, 29560",banner,Lake City Office Dominion Energy.JPG
34.187657,-79.3352561,Marion,"2765 E. Hwy 76, Mullins, SC 29440",banner,Marion Office Dominion Energy.JPG
33.3905672,-79.3336892,Georgetown,"4101 High Market street, Georgetown, SC 29574",banner,Georgetown Office Dominion Energy.JPG
