address,name,lat,long
"P.O. Box 1009, Lancaster, SC",Lancaster County Water and Sewer,34.72557,-80.7749565
"4150 Pebble St, Charlotte, NC",Pike Electric,35.2711602,-80.8132785
"1413 Prince St, Beaufort, SC",CenturyLink,32.4355796,-80.6804375
"1440 McCurdy Road, Florence, SC",City of Florence,34.1735725,-79.7252211
"301 South Avenue, Spartanburg, SC",Spartanburg Water,34.9111954,-81.9369988
"3335 Wade Hampton Blvd, Taylors, SC",Taylors Fire and Sewer District,34.9188765,-82.3169807
"235 Deming Way, Summerville, SC",Dorchester County Water and Sewer,33.0468803,-80.2131436
"386 Frontage Rd, Gaston, SC",Foremost Pipeline Construction Co Inc.,33.8341253,-81.0260433
"965 West Main Street, Rock Hill, SC",York County Natural Gas Authority,34.9351487,-81.0444453
"810 Dutch Square Blvd, Suite 320, Columbia, SC",SC811,34.0341183,-81.0967108
